zone_id,week_start,risk_score_0_100,risk_bin,scored_utc
zone_18,2024-10-26,87.93585,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-11-02,97.924614,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-11-09,97.813934,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-11-16,84.39589,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-11-23,94.57805,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-11-30,97.83366,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-12-07,97.67686,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-12-14,97.89821,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-12-21,97.94395,high,2026-04-25T20:02:39.788341+00:00
zone_18,2024-12-28,98.13585,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-01-04,98.005424,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-01-11,97.973564,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-01-18,98.02513,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-01-25,97.987144,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-02-01,97.99,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-02-08,97.98101,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-02-15,98.013504,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-02-22,98.118744,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-03-01,98.0238,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-03-08,98.00866,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-03-15,98.00158,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-03-22,97.9911,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-03-29,97.98611,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-04-05,97.998604,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-04-12,97.993546,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-04-19,98.03748,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-04-26,98.00989,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-05-03,98.07863,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-05-10,98.02395,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-05-17,98.01338,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-05-24,98.01576,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-05-31,98.04735,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-06-07,98.0673,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-06-14,97.94671,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-06-21,98.0226,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-06-28,97.96863,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-07-05,97.873116,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-07-12,97.84044,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-07-19,98.17098,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-07-26,98.05366,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-08-02,91.35742,high,2026-04-25T20:02:39.788341+00:00
zone_18,2025-08-09,80.15166,high,2026-04-25T20:02:39.788341+00:00
